Report Date,Property Name,CoStar Property ID,Community ID,Address,City,State,Zip Code,Market,Listing Package,Listing Status,Total Impressions,Detail Page Views,Contact Requests,Email Contacts,Phone Contacts,Chat Contacts,Tour Requests,Virtual Tour Views,Saved Properties,Monthly Spend,Cost Per Contact,ILS Rank,Property_Key
2026-04-09,Grand Walk,CS0000001,APT000001,7012 Main St,New York,NY,93810,Northeast Corridor,Gold,Active,2040,33,9,5,2,0,1,0,9,100.23,11.14,8,1
2026-04-09,Grand Crossing,CS0000002,APT000002,3911 Main Dr,New York,NY,24592,Northeast Corridor,Platinum,Active,1542,31,0,0,0,0,0,0,3,77.98,0.00,4,2
2026-04-09,The Grove at Square,CS0000003,APT000003,3711 River Ln,New York,NY,13278,Northeast Corridor,Gold,Active,3264,21,1,0,0,0,0,0,16,82.30,82.30,7,3
2026-04-09,The Heights,CS0000004,APT000004,7024 Park Ln,New York,NY,46048,Northeast Corridor,Platinum,Active,2976,28,31,20,7,3,3,1,19,70.92,2.29,7,4
2026-04-09,Park Crossing,CS0000005,APT000005,5614 Oak Ave,New York,NY,42098,Northeast Corridor,Silver,Active,2169,25,0,0,0,0,0,0,7,77.96,0.00,7,5
2026-04-09,The District at Commons,CS0000006,APT000006,5981 Park Ln,New York,NY,39256,Northeast Corridor,Platinum,Active,5503,27,34,19,11,3,3,0,24,98.62,2.90,5,6
2026-04-09,The Pointe,CS0000007,APT000007,8885 Oak Pl,New York,NY,28289,Northeast Corridor,Platinum,Active,5609,31,17,10,4,2,3,0,25,101.56,5.97,1,7
2026-04-09,Grand Landing,CS0000008,APT000008,4903 Park Dr,New York,NY,23434,Northeast Corridor,Gold,Active,906,17,37,24,8,5,3,0,5,61.06,1.65,6,8
2026-04-09,Grand Terrace,CS0000009,APT000009,3833 Cedar Ave,New York,NY,98696,Northeast Corridor,Gold,Active,4272,20,15,9,3,0,1,0,30,52.99,3.53,6,9
2026-04-09,River Commons,CS0000010,APT000010,6327 Cedar Ct,New York,NY,81482,Northeast Corridor,Platinum,Active,1253,14,1,0,0,0,0,0,8,33.63,33.63,2,10
2026-04-09,Grand Walk,CS0000011,APT000011,2903 Elm Blvd,Philadelphia,PA,93320,Mid-Atlantic,Gold,Active,5869,32,21,14,4,2,2,1,46,65.88,3.14,4,11
2026-04-09,Residences at Square,CS0000012,APT000012,4522 Elm Way,Philadelphia,PA,57819,Mid-Atlantic,Silver,Active,1206,19,0,0,0,0,0,0,2,67.97,0.00,7,12
