DSP,Date,Advertiser,Campaign,Campaign ID,Line Item,Line Item ID,Creative Size,Audience Segment,Impressions,Viewable Impressions,Viewability Rate,Clicks,CTR,Spend (USD),CPM,CPC,Post-Click Conversions,Post-View Conversions,Frequency,Unique Reach,Win Rate,Bid Requests,Property_Key
StackAdapt,2026-04-09,NorthStar Residential Group,NSR | NY | Prospecting | Q2-2026,SA00001001,Grand Walk | Display | Prospecting,SA00001LI1,320x50,Apartment Searchers,1129,741,0.6563,7,0.006200,17.0387,15.0919,2.4341,0,0,2.49,469,0.1957,7899,1
TradeDesk,2026-04-09,NorthStar Residential Group,NSR | NY | Prospecting | Q2-2026,TD00001001,Grand Walk | Display | Prospecting,TD00001LI1,160x600,Geo: 5mi Radius,283,185,0.6537,3,0.010601,15.9329,56.3001,5.3110,0,0,2.98,194,0.1612,2042,1
StackAdapt,2026-04-09,NorthStar Residential Group,NSR | NY | Prospecting | Q2-2026,SA00002001,Grand Crossing | Display | Prospecting,SA00002LI1,300x250,Household Income $50K+,540,321,0.5944,7,0.012963,21.1154,39.1026,3.0165,0,0,2.26,428,0.1654,5227,2
TradeDesk,2026-04-09,NorthStar Residential Group,NSR | NY | Prospecting | Q2-2026,TD00002001,Grand Crossing | Display | Prospecting,TD00002LI1,320x50,Household Income $50K+,372,206,0.5538,5,0.013441,15.7131,42.2395,3.1426,0,0,1.70,104,0.1441,2052,2
StackAdapt,2026-04-09,NorthStar Residential Group,NSR | NY | Prospecting | Q2-2026,SA00003001,The Grove at Square | Display | Prospecting,SA00003LI1,728x90,Lookalike - Past Leases,305,179,0.5869,6,0.019672,18.2994,59.9981,3.0499,0,0,1.28,112,0.1443,1735,3
TradeDesk,2026-04-09,NorthStar Residential Group,NSR | NY | Prospecting | Q2-2026,TD00003001,The Grove at Square | Display | Prospecting,TD00003LI1,300x250,Household Income $50K+,1601,1028,0.6421,7,0.004372,16.9161,10.5660,2.4166,0,0,3.47,449,0.1143,8841,3
StackAdapt,2026-04-09,NorthStar Residential Group,NSR | NY | Prospecting | Q2-2026,SA00004001,The Heights | Display | Prospecting,SA00004LI1,320x50,Geo: 5mi Radius,812,512,0.6305,4,0.004926,10.3562,12.7540,2.5891,0,0,2.28,432,0.1802,8376,4
TradeDesk,2026-04-09,NorthStar Residential Group,NSR | NY | Prospecting | Q2-2026,TD00004001,The Heights | Display | Prospecting,TD00004LI1,320x50,In-Market Renters,290,160,0.5517,4,0.013793,11.7846,40.6367,2.9462,0,0,2.24,86,0.1876,2215,4
StackAdapt,2026-04-09,NorthStar Residential Group,NSR | NY | Prospecting | Q2-2026,SA00005001,Park Crossing | Display | Prospecting,SA00005LI1,300x250,In-Market Renters,204,129,0.6324,3,0.014706,13.0835,64.1347,4.3612,0,0,1.88,60,0.1855,2132,5
TradeDesk,2026-04-09,NorthStar Residential Group,NSR | NY | Prospecting | Q2-2026,TD00005001,Park Crossing | Display | Prospecting,TD00005LI1,320x50,Apartment Searchers,46,33,0.7174,0,0.000000,6.0971,132.5454,0.0000,0,0,2.06,15,0.1442,256,5
StackAdapt,2026-04-09,NorthStar Residential Group,NSR | NY | Prospecting | Q2-2026,SA00006001,The District at Commons | Display | Prospecting,SA00006LI1,160x600,Geo: 5mi Radius,1163,799,0.6870,5,0.004299,25.0519,21.5408,5.0104,0,0,2.68,423,0.1866,11546,6
TradeDesk,2026-04-09,NorthStar Residential Group,NSR | NY | Prospecting | Q2-2026,TD00006001,The District at Commons | Display | Prospecting,TD00006LI1,160x600,Lookalike - Past Leases,99,61,0.6162,1,0.010101,5.4548,55.0988,5.4548,0,0,1.61,34,0.1465,699,6
