Google Ads
Account: NorthStar Residential Group
Date range: 2026-04-09 - 2026-04-09

Campaign,Campaign ID,Campaign type,Campaign status,Ad group,Ad group status,Day,Impressions,Clicks,CTR,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate,Search impr. share,Quality Score,Market,Property ID
Grand Walk - Brand,4163119785,Search,Enabled,Grand Walk Brand - Exact,Enabled,2026-04-09,3586,39,1.09%,$2.72,$106.14,0,$0.00,0.00%,75.30%,10,Northeast Corridor,1
Grand Walk - Non-Brand,9963334018,Search,Enabled,Apartments New York - Broad,Enabled,2026-04-09,1529,6,2.87%,$3.02,$21.79,0,$157.99,1.32%,14.41%,6,Northeast Corridor,1
Grand Walk - Remarketing,8293453178,Display,Enabled,Site Visitors - 30D,Enabled,2026-04-09,1275,14,1.10%,$3.09,$43.27,0,$0.00,0.00%,--,--,Northeast Corridor,1
Grand Crossing - Brand,5693307665,Search,Enabled,Grand Crossing Brand - Exact,Enabled,2026-04-09,7147,49,0.69%,$2.29,$112.35,0,$0.00,0.00%,57.90%,8,Northeast Corridor,2
Grand Crossing - Non-Brand,7887950851,Search,Enabled,Apartments New York - Broad,Enabled,2026-04-09,3874,14,4.14%,$4.42,$30.98,0,$179.53,1.43%,27.23%,5,Northeast Corridor,2
Grand Crossing - Remarketing,5728765136,Display,Enabled,Site Visitors - 30D,Enabled,2026-04-09,773,14,1.81%,$2.35,$32.87,0,$0.00,0.00%,--,--,Northeast Corridor,2
The Grove at Square - Brand,3783290795,Search,Enabled,The Grove at Square Brand - Exact,Enabled,2026-04-09,1538,29,1.89%,$4.15,$120.32,0,$0.00,0.00%,73.27%,7,Northeast Corridor,3
The Grove at Square - Non-Brand,2051454923,Search,Enabled,Apartments New York - Broad,Enabled,2026-04-09,674,5,5.70%,$3.56,$29.35,0,$172.20,0.58%,26.44%,6,Northeast Corridor,3
The Grove at Square - Remarketing,8378385615,Display,Enabled,Site Visitors - 30D,Enabled,2026-04-09,2059,10,0.49%,$4.10,$41.00,0,$0.00,0.00%,--,--,Northeast Corridor,3
The Heights - Brand,5908596099,Search,Enabled,The Heights Brand - Exact,Enabled,2026-04-09,2120,21,0.99%,$3.69,$77.48,1,$77.48,4.76%,59.19%,10,Northeast Corridor,4
The Heights - Non-Brand,7609857128,Search,Enabled,Apartments New York - Broad,Enabled,2026-04-09,1111,4,4.33%,$2.59,$30.95,0,$139.22,1.63%,27.22%,5,Northeast Corridor,4
The Heights - Remarketing,5567816720,Display,Enabled,Site Visitors - 30D,Enabled,2026-04-09,2114,14,0.66%,$2.37,$33.14,0,$0.00,0.00%,--,--,Northeast Corridor,4
