Campaign name,Campaign ID,Ad set name,Ad set ID,Ad name,Ad ID,Day,Account name,Account ID,Platform,Placement,Objective,Buying type,Amount spent (USD),Reach,Impressions,Frequency,Clicks (all),Link clicks,CTR (all) (%),"CPM (cost per 1,000 impressions)",CPC (cost per link click),Post engagements,Video plays,Results,Result indicator,Cost per result,Property_ID
MAA - NY - Awareness - Grand Walk,36998192399,Grand Walk - Facebook - Lookalike 2%,81294373670,Lifestyle Creative - Apr 2026,92599397877,2026-04-09,NorthStar Residential Group,act_281980870,Facebook,Facebook Feed,REACH,Auction,54.06,1935,2723,1.41,17,12,0.6243,19.85,3.18,34,0,6,Leads,9.01,1
MAA - NY - Awareness - Grand Walk,89050809978,Grand Walk - Instagram - Lookalike 2%,79579803281,Lifestyle Creative - Apr 2026,21611967747,2026-04-09,NorthStar Residential Group,act_196814848,Instagram,Instagram Feed,REACH,Auction,36.08,803,1175,1.46,14,9,1.1915,30.71,2.58,36,248,4,Leads,12.03,1
MAA - NY - Awareness - Grand Crossing,89044391153,Grand Crossing - Facebook - Lookalike 2%,44379716203,Lifestyle Creative - Apr 2026,66586343538,2026-04-09,NorthStar Residential Group,act_643569021,Facebook,Facebook Feed,REACH,Auction,55.08,495,773,1.56,13,8,1.6818,71.25,4.24,20,0,0,Leads,55.08,2
MAA - NY - Awareness - Grand Crossing,46828888777,Grand Crossing - Instagram - Lookalike 2%,73111073485,Lifestyle Creative - Apr 2026,65688784128,2026-04-09,NorthStar Residential Group,act_704697685,Instagram,Instagram Feed,REACH,Auction,45.70,922,1295,1.40,21,14,1.6216,35.29,2.18,39,217,1,Leads,45.70,2
MAA - NY - Awareness - The Grove at Square,97542915006,The Grove at Square - Facebook - Lookalike 2%,43076299503,Lifestyle Creative - Apr 2026,56386339983,2026-04-09,NorthStar Residential Group,act_542839009,Facebook,Facebook Feed,REACH,Auction,74.00,848,1411,1.66,20,15,1.4174,52.44,3.70,45,0,0,Leads,74.00,3
MAA - NY - Awareness - The Grove at Square,83340985337,The Grove at Square - Instagram - Lookalike 2%,35475152874,Lifestyle Creative - Apr 2026,54996463065,2026-04-09,NorthStar Residential Group,act_479608458,Instagram,Instagram Feed,REACH,Auction,38.09,884,1238,1.40,18,11,1.4540,30.76,2.12,42,169,0,Leads,38.09,3
MAA - NY - Awareness - The Heights,36909711192,The Heights - Facebook - Lookalike 2%,36754242624,Lifestyle Creative - Apr 2026,43650813148,2026-04-09,NorthStar Residential Group,act_998007554,Facebook,Facebook Feed,REACH,Auction,40.63,414,693,1.67,13,9,1.8759,58.64,3.13,22,0,15,Leads,2.26,4
MAA - NY - Awareness - The Heights,59316068977,The Heights - Instagram - Lookalike 2%,55615419485,Lifestyle Creative - Apr 2026,91161996004,2026-04-09,NorthStar Residential Group,act_394992351,Instagram,Instagram Feed,REACH,Auction,32.43,720,1025,1.42,14,9,1.3659,31.64,2.32,41,290,11,Leads,2.95,4
MAA - NY - Awareness - Park Crossing,16617547955,Park Crossing - Facebook - Lookalike 2%,59402754849,Lifestyle Creative - Apr 2026,70880303977,2026-04-09,NorthStar Residential Group,act_229244346,Facebook,Facebook Feed,REACH,Auction,28.03,559,866,1.55,11,8,1.2702,32.37,2.55,24,0,0,Leads,28.03,5
MAA - NY - Awareness - Park Crossing,32590242811,Park Crossing - Instagram - Lookalike 2%,46715800237,Lifestyle Creative - Apr 2026,45378243287,2026-04-09,NorthStar Residential Group,act_606103226,Instagram,Instagram Feed,REACH,Auction,21.13,983,1463,1.49,6,4,0.4101,14.45,3.52,12,200,0,Leads,21.13,5
MAA - NY - Awareness - The District at Comm,29634055249,The District at Commons - Facebook - Lookalike 2%,91515354474,Lifestyle Creative - Apr 2026,43011169806,2026-04-09,NorthStar Residential Group,act_974230575,Facebook,Facebook Feed,REACH,Auction,53.44,849,1327,1.56,16,9,1.2057,40.27,3.34,30,0,15,Leads,3.56,6
MAA - NY - Awareness - The District at Comm,13460319291,The District at Commons - Instagram - Lookalike 2%,66593097324,Lifestyle Creative - Apr 2026,29325625526,2026-04-09,NorthStar Residential Group,act_777157408,Instagram,Instagram Feed,REACH,Auction,34.60,495,855,1.73,8,5,0.9357,40.47,4.32,20,219,10,Leads,3.15,6
