Id,CreatedDate,SystemModstamp,LeadId,ContactId,CampaignId,Status,HasResponded,FirstRespondedDate,IsDeleted,LastModifiedDate,Type
00v9PXIB2KE8IVLKVT,2026-04-02T10:25:00.000+0000,2026-04-02T10:25:00.000+0000,00Q760RS6C4X56V3DG,003S9GT0R0VIP35T54,CAMP0004202604,Responded,True,2026-04-02,False,2026-04-02T10:25:00.000+0000,Lead
00vQML37CH4TBQ3D6X,2026-04-09T07:12:08.000+0000,2026-04-09T07:12:08.000+0000,00Q0S1G9EU818UTYIW,,CAMP0003202604,Sent,False,,False,2026-04-09T07:12:08.000+0000,Lead
00v9X9KANT29D8TBDG,2026-04-09T09:50:39.000+0000,2026-04-09T09:50:39.000+0000,00QXKQTQ36ZPMG6OOH,,CAMP0002202604,Sent,False,,False,2026-04-09T09:50:39.000+0000,Lead
00vNWHS9DW884G8OYP,2026-04-09T18:13:29.000+0000,2026-04-09T18:13:29.000+0000,00QR02TYAXY2NZ5X51,,CAMP0003202604,Responded,True,2026-04-09,False,2026-04-09T18:13:29.000+0000,Lead
00vKXF1L61ZB2V78ME,2026-04-10T01:27:58.000+0000,2026-04-10T01:27:58.000+0000,00Q0423H7T6UDOJY6G,,CAMP0003202604,Responded,True,2026-04-10,False,2026-04-10T01:27:58.000+0000,Lead
00vVBEWTJBOSJUC8X6,2026-04-10T00:36:03.000+0000,2026-04-10T00:36:03.000+0000,00Q8UALRY3IGWEYSU7,,CAMP0002202604,Responded,True,2026-04-10,False,2026-04-10T00:36:03.000+0000,Lead
00v0ZLVR8FTH62ISOJ,2026-04-09T13:49:37.000+0000,2026-04-09T13:49:37.000+0000,00QD2QLAW8F52K1D1G,,CAMP0002202604,Sent,False,,False,2026-04-09T13:49:37.000+0000,Lead
00v5VLLE32FCWDCWYX,2026-04-09T21:09:45.000+0000,2026-04-09T21:09:45.000+0000,00Q5VO1TK5EZS96KW0,,CAMP0002202604,Sent,False,,False,2026-04-09T21:09:45.000+0000,Lead
00vI52W0NI3HTGD9S2,2026-04-09T19:32:37.000+0000,2026-04-09T19:32:37.000+0000,00QX39ELLHLRSWP0YK,,CAMP0002202604,Sent,False,,False,2026-04-09T19:32:37.000+0000,Lead
00vGGFHD1H4KLW7LIG,2026-04-09T09:53:15.000+0000,2026-04-09T09:53:15.000+0000,00QS2GT30GCHF4AKDN,,CAMP0012202604,Responded,True,2026-04-09,False,2026-04-09T09:53:15.000+0000,Lead
00v7I0YYK0XC52MOMF,2026-04-04T11:06:00.000+0000,2026-04-04T11:06:00.000+0000,00QBFD340NXIDB5Z8X,003GQHPZHUUG4BGF86,CAMP0001202604,Responded,True,2026-04-04,False,2026-04-04T11:06:00.000+0000,Lead
00vQ1INRC8HFF1SUQD,2026-04-09T23:09:43.000+0000,2026-04-09T23:09:43.000+0000,00QF31D2O25TG5JTV7,,CAMP0002202604,Sent,False,,False,2026-04-09T23:09:43.000+0000,Lead
