Id,CreatedDate,SystemModstamp,Name,VendorName__c,ChannelType__c,Status,BudgetedCost,ActualCost,StartDate,EndDate,IsDeleted,IsActive,OwnerId,LastModifiedDate,NumberOfLeads,NumberOfConvertedLeads,Description
CAMP0001202604,2026-04-01,2026-04-09T00:00:00.000+0000,Zillow - Apr 2026,Zillow,ILS,Active,10934,9377.51,2026-04-01,2026-04-30,False,True,005C30XAXKK4W2V1QC,2026-04-09T00:00:00.000+0000,660,12,Monthly ILS campaign — Zillow
CAMP0002202604,2026-04-01,2026-04-09T00:00:00.000+0000,Apartments.com - Apr 2026,Apartments.com,ILS,Active,10965,4170.58,2026-04-01,2026-04-30,False,True,005Y2UCOY922ZL6XGY,2026-04-09T00:00:00.000+0000,295,8,Monthly ILS campaign — Apartments.com
CAMP0003202604,2026-04-01,2026-04-09T00:00:00.000+0000,Apartment List - Apr 2026,Apartment List,ILS,Active,15948,9374.08,2026-04-01,2026-04-30,False,True,0054N4S2FH4NL1ZPED,2026-04-09T00:00:00.000+0000,110,17,Monthly ILS campaign — Apartment List
CAMP0004202604,2026-04-01,2026-04-09T00:00:00.000+0000,Google Ads - Apr 2026,Google Ads,Paid Search,Active,22248,7638.16,2026-04-01,2026-04-30,False,True,00516SQR2MQCXWZ5YS,2026-04-09T00:00:00.000+0000,572,30,Monthly Paid Search campaign — Google Ads
CAMP0005202604,2026-04-01,2026-04-09T00:00:00.000+0000,Bing Ads - Apr 2026,Bing Ads,Paid Search,Active,6118,4411.31,2026-04-01,2026-04-30,False,True,005OCMWGFSIH1UNLX5,2026-04-09T00:00:00.000+0000,382,37,Monthly Paid Search campaign — Bing Ads
CAMP0006202604,2026-04-01,2026-04-09T00:00:00.000+0000,Facebook - Apr 2026,Facebook,Paid Social,Active,10479,18045.25,2026-04-01,2026-04-30,False,True,0050OLID0H5BVLJZ29,2026-04-09T00:00:00.000+0000,627,5,Monthly Paid Social campaign — Facebook
CAMP0007202604,2026-04-01,2026-04-09T00:00:00.000+0000,Instagram - Apr 2026,Instagram,Paid Social,Active,22067,13821.26,2026-04-01,2026-04-30,False,True,005Y1XWZZUF2AKO55S,2026-04-09T00:00:00.000+0000,717,11,Monthly Paid Social campaign — Instagram
CAMP0008202604,2026-04-01,2026-04-09T00:00:00.000+0000,Google Display - Apr 2026,Google Display,Display,Active,19815,5387.91,2026-04-01,2026-04-30,False,True,005JT0X4TRLES9A3Y3,2026-04-09T00:00:00.000+0000,364,20,Monthly Display campaign — Google Display
CAMP0009202604,2026-04-01,2026-04-09T00:00:00.000+0000,StackAdapt - Apr 2026,StackAdapt,Display,Active,10298,6150.85,2026-04-01,2026-04-30,False,True,005PRIEW8PLHUONRLJ,2026-04-09T00:00:00.000+0000,148,34,Monthly Display campaign — StackAdapt
CAMP0010202604,2026-04-01,2026-04-09T00:00:00.000+0000,TradeDesk - Apr 2026,TradeDesk,Display,Active,6337,14685.91,2026-04-01,2026-04-30,False,True,005ICDW2MHT2IX4QVR,2026-04-09T00:00:00.000+0000,599,33,Monthly Display campaign — TradeDesk
CAMP0011202604,2026-04-01,2026-04-09T00:00:00.000+0000,Email Marketing - Apr 2026,Email Marketing,Email,Active,9923,6469.76,2026-04-01,2026-04-30,False,True,005KML26DDCFE094FK,2026-04-09T00:00:00.000+0000,332,2,Monthly Email campaign — Email Marketing
CAMP0012202604,2026-04-01,2026-04-09T00:00:00.000+0000,Organic / Direct - Apr 2026,Organic / Direct,Organic,Active,6347,5111.37,2026-04-01,2026-04-30,False,True,005GU0UK8PXU4RN69E,2026-04-09T00:00:00.000+0000,306,33,Monthly Organic campaign — Organic / Direct
