Id,CreatedDate,SystemModstamp,Name,StageName,CloseDate,Amount,Probability,LeadId__c,Property__c,PropertyName__c,UnitType__c,MonthlyRent__c,LeaseStartDate__c,LeaseEndDate__c,CampaignId,OwnerId,IsDeleted,LastModifiedDate,LostReason__c
006GYLBI18A2VZPY9Q,2026-04-09T00:00:00.000+0000,2026-04-09T00:00:00.000+0000,Lease - Grand Walk - 20260409,Closed Won,2026-04-09,26130.24,100,00Q760RS6C4X56V3DG,PROP00001,Grand Walk,2BR,2177.52,2026-05-02,2027-07-12,CAMP0004202604,005MTRYNJSMWK6CLY7,False,2026-04-09T00:00:00.000+0000,
006HOGDPL4CKTF6LN8,2026-04-09T00:00:00.000+0000,2026-04-09T00:00:00.000+0000,Lease - Grand Crossing - 20260409,Closed Won,2026-04-09,39642.12,100,00QBFD340NXIDB5Z8X,PROP00002,Grand Crossing,2BR,3303.51,2026-05-05,2027-07-23,CAMP0001202604,00587O9DXSQ1BSXXH9,False,2026-04-09T00:00:00.000+0000,
0062HTTSW5EJR91QUP,2026-04-09T00:00:00.000+0000,2026-04-09T00:00:00.000+0000,Lease - The Grove at Square - 20260409,Closed Won,2026-04-09,19326.60,100,00QXXGX57ZKVNIJWAQ,PROP00003,The Grove at Square,Studio,1610.55,2026-04-29,2027-10-02,CAMP0010202604,0056RS6KYCD9ZLBWWQ,False,2026-04-09T00:00:00.000+0000,
006NZMCCYC3T13HLOZ,2026-04-09T00:00:00.000+0000,2026-04-09T00:00:00.000+0000,Lease - The Grove at Square - 20260409,Closed Won,2026-04-09,21715.56,100,00Q7W8TWT2I9OWP7NL,PROP00003,The Grove at Square,1BR,1809.63,2026-04-14,2027-06-22,CAMP0002202604,005LOSX8MPIEPXA82L,False,2026-04-09T00:00:00.000+0000,
006I72W4OEBMQPJBMW,2026-04-09T00:00:00.000+0000,2026-04-09T00:00:00.000+0000,Lease - The Heights - 20260409,Closed Won,2026-04-09,19519.08,100,00QVHGQK820PS5I5FT,PROP00004,The Heights,1BR,1626.59,2026-04-21,2027-04-24,CAMP0005202604,0054OHH2G94ZHZU1IH,False,2026-04-09T00:00:00.000+0000,
006SXSH0AHPO00ZCMH,2026-04-09T00:00:00.000+0000,2026-04-09T00:00:00.000+0000,Lease - The District at Comm - 20260409,Closed Won,2026-04-09,28712.64,100,00QHXEF73GGAYBFJH9,PROP00006,The District at Commons,3BR,2392.72,2026-04-15,2027-08-23,CAMP0002202604,005QT1WGXAYJJ0UG58,False,2026-04-09T00:00:00.000+0000,
0064VOYBJ7SOYGY21J,2026-04-09T00:00:00.000+0000,2026-04-09T00:00:00.000+0000,Lease - The Pointe - 20260409,Closed Won,2026-04-09,36422.40,100,00QL1OT96GSKBOJAXN,PROP00007,The Pointe,2BR,3035.20,2026-04-21,2027-05-13,CAMP0008202604,005L4AZRHYFWAB9JH2,False,2026-04-09T00:00:00.000+0000,
006B2RCYBRXODHS6JH,2026-04-09T00:00:00.000+0000,2026-04-09T00:00:00.000+0000,Lease - Grand Landing - 20260409,Closed Won,2026-04-09,36046.92,100,00QAMKT0N1PUKQHPZC,PROP00008,Grand Landing,2BR,3003.91,2026-04-11,2027-09-17,CAMP0002202604,005WEAHTSG6ARQQPO8,False,2026-04-09T00:00:00.000+0000,
006K6S2PN0NPIQJPBO,2026-04-09T00:00:00.000+0000,2026-04-09T00:00:00.000+0000,Lease - Grand Walk - 20260409,Closed Won,2026-04-09,16910.28,100,00QU1YD3W6Q763OULL,PROP00011,Grand Walk,Studio,1409.19,2026-04-14,2027-06-04,CAMP0006202604,00548W242BDOPTR793,False,2026-04-09T00:00:00.000+0000,
0067NQOTSVFK2KNELW,2026-04-09T00:00:00.000+0000,2026-04-09T00:00:00.000+0000,Lease - Residences at Square - 20260409,Closed Won,2026-04-09,29613.12,100,00QMC967FD2YBNMZOG,PROP00012,Residences at Square,1BR,2467.76,2026-04-20,2027-09-22,CAMP0002202604,005WNWFAW8AQ5FERH4,False,2026-04-09T00:00:00.000+0000,
006AGULM5FQJYYIIR4,2026-04-09T00:00:00.000+0000,2026-04-09T00:00:00.000+0000,Lease - The Crossing - 20260409,Closed Won,2026-04-09,35517.72,100,00QAQK711UZQ6RF8LW,PROP00013,The Crossing,2BR,2959.81,2026-05-04,2027-06-04,CAMP0001202604,005YKZWVB1821Q0E1Z,False,2026-04-09T00:00:00.000+0000,
006EO9VAXCZZYAGZR6,2026-04-09T00:00:00.000+0000,2026-04-09T00:00:00.000+0000,Lease - Loft at Commons - 20260409,Closed Won,2026-04-09,34663.80,100,00Q49DD5S0Q7OC0QPD,PROP00014,Loft at Commons,2BR,2888.65,2026-05-07,2027-10-18,CAMP0001202604,005EPGW9HBPIW4T38Y,False,2026-04-09T00:00:00.000+0000,
