Id,CreatedDate,SystemModstamp,ActivityDate,Subject,Status,Priority,WhoId,WhatId,OwnerId,IsDeleted,Type,Description,IsClosed,IsArchived,Property__c,TouchChannel__c,LastModifiedDate
00TA1NFXGIMYDO5N1T,2026-05-01T12:00:00.000+0000,2026-05-01T12:00:00.000+0000,2026-05-01,Lease Application Completed,Completed,Normal,00Q760RS6C4X56V3DG,CAMP0004202604,005HGX1SXTUTC29KFH,False,Lease,Lease at Grand Walk,True,False,PROP00001,Paid Search,2026-05-01T12:00:00.000+0000
00T6BLBV0XT9VYSKE5,2026-04-09T07:10:08.000+0000,2026-04-09T07:10:08.000+0000,2026-04-09,New Lead Inquiry,Completed,Normal,00Q0S1G9EU818UTYIW,CAMP0003202604,005DV5KHPRH19PPTGG,False,Lead,Lead at Grand Walk,True,False,PROP00001,ILS,2026-04-09T07:10:08.000+0000
00TQNCWZXQVRT4UPR4,2026-04-09T07:59:39.000+0000,2026-04-09T07:59:39.000+0000,2026-04-09,New Lead Inquiry,Completed,Normal,00QXKQTQ36ZPMG6OOH,CAMP0002202604,005YJ57PTMWK2YXHUP,False,Lead,Lead at Grand Walk,True,False,PROP00001,ILS,2026-04-09T07:59:39.000+0000
00TUBEKT2MNJ7OVHM3,2026-04-09T17:43:29.000+0000,2026-04-09T17:43:29.000+0000,2026-04-09,New Lead Inquiry,Completed,Normal,00QR02TYAXY2NZ5X51,CAMP0003202604,005Q8VNUUQYS9NPS08,False,Lead,Lead at Grand Walk,True,False,PROP00001,ILS,2026-04-09T17:43:29.000+0000
00T8O8G8HZMVYD47DZ,2026-04-09T22:11:58.000+0000,2026-04-09T22:11:58.000+0000,2026-04-09,New Lead Inquiry,Completed,Normal,00Q0423H7T6UDOJY6G,CAMP0003202604,005NUYOIUXVOYSES51,False,Lead,Lead at Grand Walk,True,False,PROP00001,ILS,2026-04-09T22:11:58.000+0000
00TH3MI2DNODKD3HHG,2026-04-09T22:10:03.000+0000,2026-04-09T22:10:03.000+0000,2026-04-09,New Lead Inquiry,Completed,Normal,00Q8UALRY3IGWEYSU7,CAMP0002202604,005W518X8UPFRATWUH,False,Lead,Lead at Grand Walk,True,False,PROP00001,ILS,2026-04-09T22:10:03.000+0000
00TSUV41AMISU1O67U,2026-04-09T10:44:37.000+0000,2026-04-09T10:44:37.000+0000,2026-04-09,New Lead Inquiry,Completed,Normal,00QD2QLAW8F52K1D1G,CAMP0002202604,005AZPLXZ854I5N5JY,False,Lead,Lead at Grand Walk,True,False,PROP00001,ILS,2026-04-09T10:44:37.000+0000
00T4KSKWECY9A7ABFL,2026-04-09T17:50:45.000+0000,2026-04-09T17:50:45.000+0000,2026-04-09,New Lead Inquiry,Completed,Normal,00Q5VO1TK5EZS96KW0,CAMP0002202604,005SSHSEFJGA88STUM,False,Lead,Lead at Grand Walk,True,False,PROP00001,ILS,2026-04-09T17:50:45.000+0000
00TWZF8Y7P62ZKO0E4,2026-04-09T19:24:37.000+0000,2026-04-09T19:24:37.000+0000,2026-04-09,New Lead Inquiry,Completed,Normal,00QX39ELLHLRSWP0YK,CAMP0002202604,005FOZYBBM6S7G67A0,False,Lead,Lead at Grand Walk,True,False,PROP00001,ILS,2026-04-09T19:24:37.000+0000
00TORHTMT1OZXGGMQJ,2026-04-09T09:33:15.000+0000,2026-04-09T09:33:15.000+0000,2026-04-09,New Lead Inquiry,Completed,Normal,00QS2GT30GCHF4AKDN,CAMP0012202604,005I0CYZ37Z7OEOF9W,False,Lead,Lead at Grand Walk,True,False,PROP00001,Direct,2026-04-09T09:33:15.000+0000
00T05H3K7UJJ31W0GQ,2026-04-28T05:00:00.000+0000,2026-04-28T05:00:00.000+0000,2026-04-28,Lead Inquiry - Grand Crossing,Completed,Normal,00QBFD340NXIDB5Z8X,CAMP0001202604,005B8XY5P8UELC65EN,False,Lead,Lead at Grand Crossing,True,False,PROP00002,ILS,2026-04-28T05:00:00.000+0000
00T34PGGCBI6QSRER6,2026-05-02T09:00:00.000+0000,2026-05-02T09:00:00.000+0000,2026-05-02,Lease Application Completed,Completed,Normal,003GQHPZHUUG4BGF86,CAMP0004202604,005RQL6QOFEP9Y077U,False,Lease,Lease at Grand Crossing,True,False,PROP00002,Paid Search,2026-05-02T09:00:00.000+0000
